id,region_name
2,ARUSHA
2221,DAR ES SALAAM
2908,DODOMA
7267,GEITA
10213,IRINGA
12783,KAGERA
17463,KATAVI
18685,KIGOMA
21207,KILIMANJARO
24258,LINDI
27530,MARA
31039,MANYARA
33719,MBEYA
37610,MOROGORO
42369,MTWARA
46932,MWANZA
51496,NJOMBE
53935,PWANI
56605,RUKWA
59058,RUVUMA
63715,SHINYANGA
67219,SINGIDA
70196,SIMIYU
73623,SONGWE
75601,TABORA
80301,TANGA
