residence_name,council_id
KIMOKOUWA,886
EWORENDEKE,886
ORBOMBA,886
OLTEPESI,886
RANCHI,886
LONGIDO,886
ELERAI,886
OLMOLOG,886
"LERANG""WA",886
KAMWANGA,886
KITENDEN,886
IRKASWA,886
TINGATINGA,886
NGEREYANI,886
ILDONYIO,886
LEREMETA,886
ENDONYEMALI,886
MBUGUNI,1131
MIKUNGANI,1131
KIKULETWA,1131
SHAMBARAI BURKA,1131
KERIKENYI,1131
MSITU WA MBOGO,1131
KAMBI YA TANGA JUU,1131
MARORONI,1131
SAMARIA,1131
KWAUGORO,1131
MIGANDINI,1131
VALESKA,1131
MAKIBA,1131
PATANUMBE,1131
KALOLENI,1131
MAJENGO KATI,1131
ENGATANI,1131
KIKWE,1131
NAMBALA,1131
MAWENI,1131
KARANGAI,1131
MAREU,1131
NKOANSIYO,1131
"KING""ORI",1131
NSENGONY,1131
NKOANOEL,1131
MBORENY,1131
MUUNGANO,1131
OLDONYANGIRO,1131
KOLILA,1131
NGEJUSOSIA,1131
NRUMANGENY,1131
MALULA,1131
"OLKUNG""WADO",1131
ILKRUMUN,1131
UWIRO,1131
KISIMIRI JUU,1131
KISIMIRI CHINI,1131
NGABOBO,1131
OLTEPES,1131
TANK,1131
KIKATITI,1131
NASHOLI,1131
SAKILA CHINI,1131
NGYEKU,1131
SAKILA,1131
LEGURUKI,1131
NKOASENGA,1131
MIRIRINY,1131
KANDASHE,1131
MARUVANGO,1131
SHISHTONY,1131
MBAASENY,1131
MOUWARA,1131
NGURDOTO,1131
KITEFU,1131
MAJI YA CHAI,1131
LERAI,1131
NGONGONGARE,1131
KIWAWA,1131
IMBASENI,1131
SONGORO,1131
SURA,1131
USHILI,1131
URISHO,1131
MULALA,1131
KILINGA,1131
NSHUPU,1131
NKOARANGA,1131
NGYANI,1131
NKOANEKOLI,1131
NKURE,1131
SANGANANU,1131
MFULONY,1131
KIMUNDO,1131
NKOARISAMBU,1131
"SING""ISI",1131
MALALA,1131
SEELA,1131
PATANDI,1131
NGURUMA,1131
AKERI,1131
NDATU,1131
NJORO,1131
POLI,1131
NKOANRUA,1131
LOITA NKOAMALA,1131
KIPANDE NKOAVELE,1131
AMBURENI,1131
SHANGARAI,1131
MLIMANI,1591
SINONI/NGARASH,1591
OLARASH,1591
EMAIRETE,1591
ELUAI,1591
ENGUIKI,1591
IDONYONAADO,1591
MFEREJI,1591
EMURUA,1591
KOMESHA,1591
MTI MMOJA,1591
ARKARIA,1591
LENDIKINYA,1591
ARKATAN,1591
LASHAINE,1591
ORKESWA,1591
LEPURKO SHULENI,1591
LOOSIMINGOR,1591
"EN""GAROOJI",1591
NANJA,1591
MESERANI JUU,1591
MESERANI BWAWANI,1591
NAALARAMI,1591
LENGILORITI,1591
ENGORIKA,1591
MOITA KILORITI,1591
KILORITI KIPOK,1591
LOOLERA,1591
MOITA BWAWANI,1591
KILIMATINDE,1591
LOLKISALE,1591
NAFCO,1591
TUKUSI,1591
LEMOOTI,1591
LONGOOLWA A,1591
OLDONYO,1591
NAITOLIA,1591
MSWAKINI CHINI,1591
MSWAKINI JUU,1591
MAKUYUNI,1591
NAITI,1591
MBUYUNI,1591
LOSIRWA,1591
BARAKA,1591
ESILALEI,1591
OLTUKAI,1591
MUNGERE,1591
BARABARANI,1591
KISUTU,1591
JANGWANI,1591
MAGADINI,1591
MIGUNGANI A,1591
MIGUNGANI B,1591
KIGONGONI,1591
MAJENGO,1591
MIGOMBANI,1591
SELELA,1591
MBAASH,1591
ENGARUKA JUU,1591
OLDONYO LENGAI,1591
ENGARUKA CHINI,1591
RERENDENI,1591
ENGUSEROSAMBU,1914
"NG""ARWA",1914
NAAN,1914
ORKIU JUU,1914
OLORIEN,1914
MAGAIDURU,1914
OLDONYOWAS,1914
WASSO,1914
ARASH,1914
ORMANIE,1914
MBUKEN,1914
OLALAA,1914
LOOSOITO,1914
MAALON,1914
OLOSWASHI,1914
NGOBERETI,1914
KIRTALO,1914
MONDOROSI,1914
SOITSAMBU,1914
OLOIPIRI,1914
SUKENYA,1914
OLOLOSOKWAN,1914
MAIROWA,1914
NJOROI,1914
MESHILI,1914
NGOILE,1914
OLOIROBI,1914
MOKILAL,1914
KAYAPUSI,1914
KAITAKITENG,1914
LONGOOJO,1914
MISIGYO,1914
ALAILELAI,1914
BULATI,1914
SENDUI,1914
OLCHAMIOLOCK,1914
NAINOKANOKA,1914
IRKEEPUS,1914
NAIYOBI,1914
ITULELE,1914
KAPENJIRO,1914
ENDULENI,1914
NASPORIOONG,1914
OLPIRO,1914
MASUMBURAI,1914
ESERE,1914
ENGESHEI,1914
ALAITOLEI,1914
KAKESIO,1914
